ID_Transaccion,ID_Usuario,ID_Producto,Precio_Base_USD,Pct_Descto_Ludificacion,Cupon_USD,Precio_Final_USD
TRX000141,U00054,P0173,94.02,0.5,5,42.01
TRX000142,U00224,P0284,71.18,0.1,5,59.06
TRX000143,U00333,P0196,5.0,0.1,10,0.99
TRX000144,U00692,P0293,5.0,0.1,5,0.99
TRX000145,U00255,P0158,10.59,0.1,0,9.53
TRX000146,U00837,P0030,20.32,0.2,0,16.26
TRX000147,U00532,P0254,44.12,0.1,5,34.71
TRX000148,U01188,P0163,64.05,0.0,5,59.05
TRX000149,U01107,P0023,11.04,0.0,0,11.04
TRX000150,U00147,P0219,25.86,0.7,0,7.76
TRX000151,U00964,P0151,14.28,0.0,10,4.28
TRX000152,U00441,P0194,23.93,0.5,0,11.96
TRX000153,U01158,P0258,62.09,0.5,5,26.05
TRX000154,U00650,P0138,9.01,0.1,5,3.11
TRX000155,U00237,P0124,5.0,0.2,0,4.0
TRX000156,U00858,P0118,18.86,0.2,10,5.09
TRX000157,U01241,P0134,24.73,0.1,0,22.26
TRX000158,U00930,P0008,17.99,0.1,0,16.19
TRX000159,U00050,P0086,30.74,0.7,10,0.99
TRX000160,U00690,P0173,38.22,0.2,5,25.58
TRX000161,U00893,P0149,21.32,0.5,5,5.66
TRX000162,U01381,P0233,7.82,0.1,0,7.04
TRX000163,U00699,P0025,5.0,0.2,10,0.99
TRX000164,U01498,P0108,43.31,0.2,0,34.65
TRX000165,U00899,P0115,32.99,0.7,10,0.99
TRX000166,U00057,P0021,11.69,0.9,5,0.99
TRX000167,U01500,P0228,5.0,0.1,0,4.5
TRX000168,U00281,P0143,16.5,0.5,0,8.25
TRX000169,U01039,P0172,16.7,0.2,5,8.36
TRX000170,U00390,P0286,5.0,0.2,10,0.99
TRX000171,U01380,P0101,19.22,0.5,5,4.61
TRX000172,U00007,P0223,46.36,0.0,5,41.36
TRX000173,U01307,P0179,6.27,0.1,0,5.64
TRX000174,U01113,P0247,8.67,0.1,0,7.8
TRX000175,U00952,P0164,13.55,0.1,0,12.2
TRX000176,U00596,P0138,5.21,0.2,10,0.99
TRX000177,U00906,P0218,5.0,0.1,5,0.99
TRX000178,U01098,P0106,16.7,0.5,0,8.35
TRX000179,U00777,P0047,23.03,0.1,5,15.73
TRX000180,U01098,P0203,9.03,0.7,0,2.71
TRX000181,U00074,P0011,20.73,0.2,5,11.58
TRX000182,U00070,P0140,35.34,0.5,10,7.67
TRX000183,U00157,P0038,5.77,0.5,0,2.88
TRX000184,U01241,P0160,15.16,0.5,0,7.58
TRX000185,U00772,P0150,12.03,0.2,0,9.62
TRX000186,U01491,P0202,11.69,0.9,5,0.99
TRX000187,U00758,P0245,6.97,0.1,10,0.99
TRX000188,U00172,P0073,26.44,0.2,10,11.15
TRX000189,U00844,P0160,18.35,0.0,5,13.35
TRX000190,U01118,P0256,21.05,0.1,5,13.95
TRX000191,U00216,P0218,15.75,0.5,0,7.88
TRX000192,U01015,P0088,42.18,0.2,5,28.74
TRX000193,U00603,P0139,6.72,0.1,5,1.05
TRX000194,U01064,P0129,65.2,0.2,0,52.16
TRX000195,U00021,P0163,13.53,0.0,10,3.53
TRX000196,U00126,P0240,12.08,0.2,0,9.66
TRX000197,U00583,P0219,11.14,0.2,0,8.91
TRX000198,U01497,P0111,13.07,0.1,0,11.76
TRX000199,U01262,P0243,20.38,0.1,0,18.34
TRX000200,U00281,P0262,29.43,0.5,0,14.71
TRX000201,U00790,P0243,7.87,0.1,0,7.08
TRX000202,U00896,P0287,5.0,0.2,5,0.99
TRX000203,U00749,P0239,22.11,0.2,5,12.69
TRX000204,U00740,P0270,28.17,0.1,5,20.35
TRX000205,U00069,P0141,12.09,0.9,5,0.99
TRX000206,U01245,P0233,5.0,0.2,0,4.0
TRX000207,U01446,P0091,26.92,0.2,10,11.54
TRX000208,U00398,P0009,31.15,0.1,5,23.04
TRX000209,U01058,P0008,42.81,0.5,5,16.41
TRX000210,U00909,P0023,71.38,0.1,0,64.24
TRX000211,U00561,P0288,13.04,0.2,5,5.43
TRX000212,U00381,P0163,17.36,0.2,10,3.89
TRX000213,U00631,P0098,19.66,0.1,0,17.69
TRX000214,U00559,P0103,29.84,0.1,0,26.86
TRX000215,U01293,P0088,88.03,0.1,5,74.23
TRX000216,U00425,P0176,19.42,0.2,5,10.54
TRX000217,U00237,P0265,15.18,0.1,5,8.66
TRX000218,U01290,P0184,12.71,0.7,0,3.81
TRX000219,U00628,P0084,12.15,0.0,10,2.15
TRX000220,U00518,P0192,10.14,0.2,0,8.11
TRX000221,U00863,P0219,27.09,0.2,0,21.67
TRX000222,U01164,P0072,36.06,0.1,0,32.45
TRX000223,U00811,P0085,6.44,0.1,0,5.8
TRX000224,U00316,P0285,26.69,0.5,0,13.35
TRX000225,U00968,P0193,37.06,0.5,0,18.53
TRX000226,U01382,P0218,110.15,0.2,5,83.12
TRX000227,U00482,P0189,10.89,0.0,5,5.89
TRX000228,U00619,P0223,11.14,0.0,0,11.14
TRX000229,U00535,P0216,28.37,0.2,0,22.7
TRX000230,U00330,P0164,58.49,0.1,5,47.64
TRX000231,U00621,P0218,18.89,0.2,10,5.11
TRX000232,U00229,P0092,19.73,0.9,5,0.99
TRX000233,U00405,P0264,32.99,0.2,0,26.39
TRX000234,U00517,P0218,29.93,0.1,0,26.94
TRX000235,U00610,P0019,10.8,0.0,5,5.8
TRX000236,U00883,P0141,48.56,0.1,0,43.7
TRX000237,U00084,P0040,18.11,0.2,5,9.49
TRX000238,U00866,P0206,91.35,0.0,10,81.35
TRX000239,U00393,P0293,19.17,0.2,10,5.34
TRX000240,U00563,P0096,15.84,0.1,5,9.26
TRX000241,U00039,P0213,14.11,0.2,5,6.29
TRX000242,U01253,P0148,33.61,0.5,5,11.8
TRX000243,U00703,P0175,10.69,0.1,10,0.99
TRX000244,U01354,P0293,66.68,0.9,5,1.67
TRX000245,U00598,P0162,8.53,0.1,5,2.68
TRX000246,U01140,P0252,39.76,0.9,0,3.98
TRX000247,U00433,P0057,12.77,0.1,5,6.49
TRX000248,U00655,P0186,15.95,0.2,5,7.76
TRX000249,U00462,P0207,8.22,0.5,0,4.11
TRX000250,U01400,P0051,20.87,0.1,5,13.78
TRX000251,U01228,P0293,16.18,0.1,0,14.56
TRX000252,U01131,P0262,8.48,0.7,10,0.99
TRX000253,U00661,P0068,12.77,0.1,0,11.49
TRX000254,U01025,P0057,9.1,0.5,10,0.99
TRX000255,U01065,P0241,24.48,0.2,0,19.58
TRX000256,U00899,P0247,52.16,0.5,0,26.08
TRX000257,U00878,P0064,68.94,0.5,5,29.47
TRX000258,U00989,P0108,9.46,0.1,0,8.51
TRX000259,U00702,P0152,15.37,0.2,0,12.3
TRX000260,U00760,P0289,9.42,0.1,0,8.48
TRX000261,U01424,P0066,30.05,0.1,5,22.05
TRX000262,U01477,P0261,8.56,0.5,10,0.99
TRX000263,U01072,P0192,5.39,0.2,10,0.99
TRX000264,U00461,P0159,92.03,0.1,0,82.83
TRX000265,U01167,P0007,46.0,0.5,5,18.0
TRX000266,U01040,P0035,9.4,0.1,10,0.99
TRX000267,U00502,P0132,23.31,0.7,10,0.99
TRX000268,U00188,P0098,8.85,0.5,10,0.99
TRX000269,U00951,P0051,5.17,0.1,5,0.99
TRX000270,U01226,P0250,22.59,0.1,0,20.33
TRX000271,U01207,P0234,36.91,0.2,0,29.53
TRX000272,U00542,P0273,47.1,0.1,0,42.39
TRX000273,U00999,P0004,8.07,0.2,0,6.46
TRX000274,U01307,P0276,6.09,0.5,0,3.04
TRX000275,U00211,P0154,32.91,0.2,0,26.33
TRX000276,U00667,P0265,5.0,0.9,5,0.99
TRX000277,U00760,P0075,12.86,0.5,0,6.43
TRX000278,U00114,P0210,28.84,0.1,10,15.96
TRX000279,U00604,P0192,46.32,0.1,5,36.69
TRX000280,U00498,P0083,6.96,0.1,0,6.26
TRX000281,U00512,P0144,57.92,0.0,0,57.92
TRX000282,U00152,P0167,42.86,0.9,5,0.99
TRX000283,U00503,P0168,5.94,0.1,5,0.99
TRX000284,U00740,P0229,13.35,0.5,0,6.67
TRX000285,U00523,P0012,41.66,0.2,10,23.33
TRX000286,U00066,P0259,15.71,0.7,0,4.71
TRX000287,U01144,P0058,5.0,0.5,0,2.5
TRX000288,U00568,P0239,5.0,0.2,10,0.99
TRX000289,U00044,P0206,18.53,0.5,0,9.27
TRX000290,U01091,P0235,30.28,0.2,0,24.22
TRX000291,U00304,P0106,17.59,0.2,10,4.07
TRX000292,U00472,P0107,7.54,0.1,0,6.79
TRX000293,U00253,P0193,98.3,0.7,0,29.49
TRX000294,U00191,P0090,26.18,0.2,5,15.94
TRX000295,U00649,P0213,46.58,0.5,0,23.29
TRX000296,U00820,P0052,18.07,0.1,10,6.26
TRX000297,U01333,P0200,22.24,0.9,5,0.99
TRX000298,U00288,P0241,31.07,0.5,0,15.54
TRX000299,U00859,P0089,31.22,0.1,10,18.1
TRX000300,U00418,P0157,89.56,0.2,0,71.65
TRX000301,U00071,P0074,24.81,0.1,5,17.33
TRX000302,U00136,P0058,27.71,0.9,0,2.77
TRX000303,U00638,P0244,5.0,0.1,5,0.99
TRX000304,U00258,P0113,14.62,0.2,10,1.7
TRX000305,U00512,P0116,19.98,0.1,5,12.98
TRX000306,U00672,P0217,8.63,0.1,0,7.77
TRX000307,U00030,P0074,7.33,0.1,0,6.6
TRX000308,U00926,P0110,13.43,0.2,0,10.74
TRX000309,U00382,P0131,8.35,0.5,0,4.17
TRX000310,U00874,P0014,10.62,0.9,0,1.06
TRX000311,U00712,P0158,7.61,0.7,10,0.99
TRX000312,U01394,P0114,77.54,0.5,0,38.77
TRX000313,U01092,P0186,6.09,0.9,0,0.99
TRX000314,U01108,P0218,26.66,0.7,0,8.0
TRX000315,U00660,P0070,17.81,0.0,5,12.81
TRX000316,U00841,P0072,107.53,0.1,10,86.78
TRX000317,U00718,P0037,26.83,0.1,0,24.15
TRX000318,U00023,P0061,17.16,0.2,5,8.73
TRX000319,U00315,P0037,53.43,0.5,10,16.71
TRX000320,U01454,P0250,62.91,0.5,0,31.45
TRX000321,U01362,P0254,58.31,0.2,5,41.65
TRX000322,U00860,P0129,6.78,0.9,0,0.99
TRX000323,U01364,P0137,60.77,0.5,5,25.39
TRX000324,U01210,P0051,39.68,0.2,0,31.74
TRX000325,U01472,P0021,8.94,0.7,5,0.99
TRX000326,U01371,P0014,24.22,0.1,0,21.8
TRX000327,U00520,P0184,27.28,0.9,0,2.73
TRX000328,U00429,P0286,10.05,0.5,5,0.99
TRX000329,U00183,P0171,11.09,0.5,10,0.99
TRX000330,U01274,P0255,14.51,0.2,5,6.61
TRX000331,U00327,P0087,16.92,0.2,10,3.54
TRX000332,U00407,P0048,11.91,0.0,5,6.91
TRX000333,U00273,P0198,98.58,0.5,10,39.29
TRX000334,U00504,P0281,5.0,0.1,10,0.99
TRX000335,U00902,P0111,30.27,0.9,10,0.99
TRX000336,U00382,P0266,9.93,0.2,5,2.94
TRX000337,U00884,P0190,6.04,0.1,5,0.99
TRX000338,U01103,P0297,17.96,0.1,10,6.16
TRX000339,U01475,P0179,15.91,0.2,10,2.73
TRX000340,U00133,P0088,91.09,0.0,0,91.09
TRX000341,U00134,P0142,5.0,0.5,5,0.99
TRX000342,U00635,P0276,35.61,0.2,0,28.49
TRX000343,U00014,P0028,16.82,0.1,10,5.14
TRX000344,U00372,P0016,27.71,0.2,0,22.17
TRX000345,U00835,P0196,17.39,0.1,0,15.65
TRX000346,U00823,P0103,43.03,0.1,10,28.73
TRX000347,U01141,P0031,17.34,0.0,10,7.34
TRX000348,U00143,P0089,20.55,0.1,5,13.5
TRX000349,U01229,P0192,5.0,0.5,10,0.99
TRX000350,U00639,P0150,18.77,0.1,5,11.89
TRX000351,U00932,P0281,39.98,0.7,5,6.99
TRX000352,U00828,P0022,38.43,0.1,10,24.59
TRX000353,U01065,P0047,13.96,0.2,5,6.17
TRX000354,U00918,P0102,16.73,0.1,5,10.06
TRX000355,U01249,P0200,8.51,0.5,5,0.99
TRX000356,U01313,P0161,33.52,0.5,5,11.76
TRX000357,U01042,P0269,35.05,0.2,0,28.04
TRX000358,U01463,P0105,62.64,0.2,5,45.11
TRX000359,U00010,P0124,7.72,0.1,0,6.95
TRX000360,U01227,P0127,10.14,0.2,0,8.11
TRX000361,U00839,P0006,9.84,0.1,10,0.99
TRX000362,U00264,P0115,22.55,0.0,0,22.55
TRX000363,U01395,P0204,17.42,0.7,0,5.23
TRX000364,U00412,P0066,55.8,0.2,0,44.64
TRX000365,U00496,P0224,10.56,0.1,5,4.5
TRX000366,U00090,P0292,8.95,0.0,0,8.95
TRX000367,U00779,P0079,49.26,0.1,5,39.33
TRX000368,U01233,P0271,9.77,0.1,0,8.79
TRX000369,U01267,P0087,17.92,0.0,10,7.92
TRX000370,U00460,P0019,43.8,0.2,0,35.04
TRX000371,U00921,P0122,12.79,0.1,10,1.51
TRX000372,U00296,P0147,25.12,0.2,0,20.1
TRX000373,U00295,P0022,5.93,0.2,0,4.74
TRX000374,U00944,P0232,44.44,0.2,0,35.55
TRX000375,U00445,P0098,5.0,0.5,5,0.99
TRX000376,U00438,P0202,11.12,0.1,0,10.01
TRX000377,U00105,P0103,24.72,0.1,0,22.25
TRX000378,U00560,P0289,44.54,0.5,5,17.27
TRX000379,U00997,P0162,7.07,0.2,5,0.99
TRX000380,U00679,P0047,5.71,0.1,10,0.99
TRX000381,U01195,P0229,5.86,0.1,0,5.27
TRX000382,U00325,P0288,80.76,0.2,0,64.61
TRX000383,U00912,P0050,20.4,0.1,0,18.36
TRX000384,U01198,P0293,6.98,0.1,10,0.99
TRX000385,U00142,P0091,31.41,0.1,0,28.27
TRX000386,U00727,P0254,58.71,0.0,10,48.71
TRX000387,U01003,P0164,24.95,0.1,0,22.45
TRX000388,U01351,P0042,19.74,0.1,0,17.77
TRX000389,U00779,P0199,64.33,0.2,0,51.46
TRX000390,U01473,P0134,6.59,0.2,0,5.27
TRX000391,U01043,P0059,30.42,0.5,0,15.21
TRX000392,U00020,P0007,27.95,0.5,0,13.97
TRX000393,U01362,P0055,16.33,0.1,10,4.7
TRX000394,U00431,P0026,64.74,0.5,0,32.37
TRX000395,U00961,P0148,17.75,0.7,0,5.33
TRX000396,U01434,P0064,20.49,0.5,0,10.24
TRX000397,U01232,P0212,10.43,0.2,10,0.99
TRX000398,U00133,P0032,16.08,0.0,0,16.08
TRX000399,U00025,P0046,11.33,0.7,5,0.99
TRX000400,U00734,P0246,15.4,0.1,0,13.86
TRX000401,U01415,P0181,5.01,0.1,5,0.99
TRX000402,U00860,P0013,29.61,0.7,5,3.88
TRX000403,U00310,P0095,20.7,0.2,0,16.56
TRX000404,U00467,P0098,22.39,0.2,5,12.91
TRX000405,U00218,P0035,66.52,0.2,0,53.22
TRX000406,U01294,P0082,12.14,0.1,0,10.93
TRX000407,U01411,P0066,5.0,0.0,0,5.0
TRX000408,U01299,P0244,137.51,0.5,5,63.75
TRX000409,U01451,P0122,25.4,0.2,10,10.32
TRX000410,U01084,P0252,19.6,0.2,10,5.68
TRX000411,U00746,P0031,11.46,0.0,0,11.46
TRX000412,U01239,P0275,21.1,0.1,10,8.99
TRX000413,U01073,P0259,15.08,0.2,10,2.06
TRX000414,U00162,P0189,33.66,0.2,10,16.93
TRX000415,U00221,P0141,12.05,0.2,0,9.64
TRX000416,U00756,P0073,85.24,0.1,5,71.72
TRX000417,U01319,P0145,10.99,0.0,5,5.99
TRX000418,U01462,P0121,20.87,0.0,0,20.87
TRX000419,U01075,P0214,12.12,0.1,10,0.99
TRX000420,U00116,P0286,22.78,0.0,5,17.78
TRX000421,U00282,P0257,14.37,0.2,0,11.5
TRX000422,U00083,P0103,7.95,0.2,0,6.36
TRX000423,U00814,P0109,21.24,0.2,5,11.99
TRX000424,U00686,P0101,14.42,0.1,0,12.98
TRX000425,U00420,P0095,36.66,0.1,10,22.99
TRX000426,U01215,P0156,54.0,0.1,0,48.6
TRX000427,U00635,P0007,22.33,0.1,0,20.1
TRX000428,U00984,P0288,8.42,0.2,5,1.74
TRX000429,U01269,P0026,67.25,0.7,0,20.18
TRX000430,U00867,P0191,5.0,0.0,0,5.0
TRX000431,U00420,P0062,63.77,0.2,0,51.02
TRX000432,U00554,P0012,28.44,0.5,0,14.22
TRX000433,U00886,P0239,5.0,0.2,0,4.0
TRX000434,U00548,P0013,13.3,0.2,10,0.99
TRX000435,U01145,P0251,27.96,0.5,0,13.98
TRX000436,U01488,P0283,12.06,0.2,0,9.65
TRX000437,U00599,P0076,33.93,0.2,5,22.14
TRX000438,U01322,P0239,18.51,0.2,5,9.81
TRX000439,U01227,P0175,5.0,0.1,5,0.99
TRX000440,U00230,P0257,16.41,0.2,5,8.13
TRX000441,U01401,P0172,9.89,0.5,0,4.95
TRX000442,U01409,P0055,16.21,0.1,5,9.59
TRX000443,U01015,P0074,58.23,0.1,5,47.41
TRX000444,U00034,P0016,8.25,0.1,0,7.42
TRX000445,U01355,P0207,58.97,0.1,0,53.07
TRX000446,U01391,P0252,31.93,0.9,0,3.19
TRX000447,U00866,P0180,63.7,0.9,0,6.37
TRX000448,U01484,P0049,14.29,0.2,5,6.43
TRX000449,U00444,P0211,54.83,0.2,5,38.86
TRX000450,U01098,P0025,14.27,0.1,0,12.84
TRX000451,U01232,P0170,6.74,0.9,0,0.99
TRX000452,U00772,P0023,20.23,0.1,0,18.21
TRX000453,U00208,P0085,46.64,0.7,5,8.99
TRX000454,U01301,P0279,20.79,0.1,0,18.71
TRX000455,U00973,P0206,11.06,0.7,0,3.32
TRX000456,U01142,P0135,48.67,0.2,10,28.94
TRX000457,U00616,P0069,19.75,0.1,5,12.78
TRX000458,U00655,P0125,43.41,0.7,10,3.02
TRX000459,U00300,P0066,26.61,0.5,0,13.3
TRX000460,U00462,P0135,15.75,0.2,5,7.6
TRX000461,U00801,P0231,5.69,0.5,0,2.85
TRX000462,U00495,P0267,14.9,0.1,5,8.41
TRX000463,U01314,P0021,11.64,0.2,10,0.99
TRX000464,U01048,P0250,51.16,0.1,10,36.04
TRX000465,U00962,P0173,43.83,0.1,5,34.45
TRX000466,U00642,P0166,31.0,0.7,5,4.3
TRX000467,U00541,P0218,15.64,0.2,5,7.51
TRX000468,U00419,P0237,64.78,0.2,0,51.82
TRX000469,U01327,P0255,11.43,0.5,10,0.99
TRX000470,U01128,P0202,18.09,0.0,0,18.09
TRX000471,U01047,P0291,11.57,0.9,5,0.99
TRX000472,U00252,P0186,12.03,0.5,10,0.99
TRX000473,U01407,P0217,32.18,0.2,0,25.74
TRX000474,U01267,P0293,16.69,0.5,10,0.99
TRX000475,U00352,P0197,27.7,0.9,0,2.77
TRX000476,U00453,P0124,18.45,0.2,0,14.76
TRX000477,U01188,P0198,11.6,0.5,0,5.8
TRX000478,U00048,P0278,31.92,0.5,0,15.96
TRX000479,U01040,P0199,35.7,0.1,5,27.13
TRX000480,U00644,P0181,7.12,0.2,0,5.7
TRX000481,U01322,P0034,5.1,0.1,0,4.59
TRX000482,U00523,P0179,22.42,0.1,0,20.18
TRX000483,U00075,P0196,8.23,0.0,10,0.99
TRX000484,U00928,P0077,10.24,0.1,10,0.99
TRX000485,U00475,P0048,9.43,0.5,10,0.99
TRX000486,U00401,P0040,48.23,0.0,0,48.23
TRX000487,U00313,P0274,34.71,0.0,10,24.71
TRX000488,U00343,P0025,19.81,0.2,10,5.85
TRX000489,U00932,P0090,14.69,0.1,5,8.22
TRX000490,U01388,P0203,27.62,0.2,5,17.1
TRX000491,U00515,P0269,31.37,0.7,0,9.41
TRX000492,U00784,P0193,57.01,0.1,0,51.31
TRX000493,U00922,P0072,13.44,0.1,0,12.1
TRX000494,U00420,P0238,14.19,0.1,10,2.77
TRX000495,U00718,P0239,82.04,0.7,0,24.61
