ID_Transaccion,Fecha_Compra,Dias_Transito_Internacional,Costo_Envio_Subsidiado_USD,Dias_Ultima_Milla_Peru
TRX000244,2024-09-21,13,0,2
TRX000245,2024-10-07,13,4.99,2
TRX000246,2024-09-15,14,2.99,4
TRX000247,2024-08-11,11,0,1
TRX000248,2024-10-23,16,0,2
TRX000249,2024-06-15,12,2.99,2
TRX000250,2024-08-16,8,0,4
TRX000251,2024-09-23,5,4.99,1
TRX000252,2024-06-11,7,0,3
TRX000253,2024-07-02,18,0,2
TRX000254,2024-06-10,12,0,5
TRX000255,2024-09-15,11,0,4
TRX000256,2024-08-10,14,0,1
TRX000257,2024-05-29,15,0,2
TRX000258,2024-10-25,17,0,4
TRX000259,2024-07-10,9,0,1
TRX000260,2024-06-10,9,0,2
TRX000261,2024-05-08,13,0,4
TRX000262,2024-08-12,5,4.99,3
TRX000263,2024-09-01,16,0,4
TRX000264,2024-10-03,12,0,1
TRX000265,2024-06-28,7,0,2
TRX000266,2024-09-15,17,0,1
TRX000267,2024-06-28,10,0,2
TRX000268,2024-06-03,10,0,2
TRX000269,2024-06-20,10,0,1
TRX000270,2024-08-19,12,2.99,2
TRX000271,2024-10-09,11,0,3
TRX000272,2024-09-21,7,0,2
TRX000273,2024-05-17,19,0,3
TRX000274,2024-05-28,12,0,1
TRX000275,2024-06-19,11,2.99,3
TRX000276,2024-08-15,12,2.99,1
TRX000277,2024-07-18,16,0,1
TRX000278,2024-08-25,12,0,2
TRX000279,2024-06-21,12,0,3
TRX000280,2024-09-29,5,0,3
TRX000281,2024-07-27,11,2.99,2
TRX000282,2024-06-08,14,0,1
TRX000283,2024-07-14,9,0,2
TRX000284,2024-07-22,8,0,3
TRX000285,2024-05-13,15,4.99,3
TRX000286,2024-09-15,8,0,3
TRX000287,2024-08-28,10,0,1
TRX000288,2024-06-08,11,0,2
TRX000289,2024-06-27,11,2.99,2
TRX000290,2024-09-25,17,0,1
TRX000291,2024-05-11,13,4.99,3
TRX000292,2024-07-09,12,0,6
TRX000293,2024-05-13,12,0,1
TRX000294,2024-09-10,15,0,4
TRX000295,2024-07-05,20,0,1
TRX000296,2024-05-17,6,0,4
TRX000297,2024-07-22,11,0,5
TRX000298,2024-06-23,14,0,1
TRX000299,2024-10-19,15,0,4
TRX000300,2024-07-07,11,0,2
TRX000301,2024-09-12,11,0,3
TRX000302,2024-08-15,14,0,1
TRX000303,2024-08-02,13,0,5
TRX000304,2024-06-06,12,0,3
TRX000305,2024-08-27,16,0,2
TRX000306,2024-05-09,11,0,1
TRX000307,2024-05-03,7,0,1
TRX000308,2024-08-21,13,0,3
TRX000309,2024-05-25,17,0,2
TRX000310,2024-06-28,17,0,2
TRX000311,2024-09-07,13,2.99,4
TRX000312,2024-07-30,6,0,2
TRX000313,2024-06-10,10,0,3
TRX000314,2024-08-11,10,4.99,6
TRX000315,2024-10-19,9,0,1
TRX000316,2024-07-02,10,0,3
TRX000317,2024-09-27,19,0,3
TRX000318,2024-10-08,10,0,2
TRX000319,2024-05-11,8,0,1
TRX000320,2024-05-27,16,4.99,4
TRX000321,2024-07-11,5,2.99,4
TRX000322,2024-05-26,11,0,1
TRX000323,2024-09-22,15,2.99,1
TRX000324,2024-07-01,9,2.99,4
TRX000325,2024-09-11,16,2.99,4
TRX000326,2024-10-09,13,2.99,2
TRX000327,2024-08-23,9,0,3
TRX000328,2024-07-22,11,0,1
TRX000329,2024-07-21,14,0,3
TRX000330,2024-06-21,11,0,5
TRX000331,2024-10-27,13,0,2
TRX000332,2024-10-17,10,0,3
TRX000333,2024-07-15,16,0,1
TRX000334,2024-05-07,6,4.99,3
TRX000335,2024-09-01,13,0,3
TRX000336,2024-08-08,11,4.99,1
TRX000337,2024-05-20,17,2.99,3
TRX000338,2024-09-07,11,0,1
TRX000339,2024-08-28,7,0,2
TRX000340,2024-10-14,14,2.99,3
TRX000341,2024-09-03,8,0,1
TRX000342,2024-06-29,6,2.99,1
TRX000343,2024-10-05,9,0,4
TRX000344,2024-05-31,11,0,3
TRX000345,2024-07-30,10,0,3
TRX000346,2024-10-10,14,0,3
TRX000347,2024-05-04,10,0,4
TRX000348,2024-06-16,5,0,2
TRX000349,2024-06-15,9,0,1
TRX000350,2024-09-29,5,0,2
TRX000351,2024-05-17,7,0,2
TRX000352,2024-08-31,14,0,1
TRX000353,2024-09-14,9,0,1
TRX000354,2024-08-12,10,0,3
TRX000355,2024-10-26,20,0,5
TRX000356,2024-05-13,14,0,2
TRX000357,2024-06-24,9,2.99,5
TRX000358,2024-10-04,18,0,3
TRX000359,2024-08-08,6,2.99,3
TRX000360,2024-08-17,10,2.99,1
TRX000361,2024-09-02,13,0,2
TRX000362,2024-06-10,14,0,1
TRX000363,2024-05-31,14,0,1
TRX000364,2024-08-31,13,2.99,3
TRX000365,2024-05-11,9,4.99,2
TRX000366,2024-07-04,14,0,2
TRX000367,2024-07-25,10,2.99,2
TRX000368,2024-09-18,12,0,2
TRX000369,2024-10-23,9,0,3
TRX000370,2024-10-14,13,0,1
TRX000371,2024-08-25,8,0,1
TRX000372,2024-08-08,18,0,2
TRX000373,2024-08-11,13,0,4
TRX000374,2024-08-02,9,0,4
TRX000375,2024-08-02,8,0,4
TRX000376,2024-10-14,5,4.99,3
TRX000377,2024-09-10,15,0,1
TRX000378,2024-09-25,12,0,2
TRX000379,2024-05-10,8,0,1
TRX000380,2024-06-21,11,0,1
TRX000381,2024-09-21,12,0,4
TRX000382,2024-07-11,9,4.99,1
TRX000383,2024-06-13,10,4.99,3
TRX000384,2024-09-03,15,2.99,2
TRX000385,2024-10-19,13,0,3
TRX000386,2024-08-15,14,0,2
TRX000387,2024-08-23,11,0,4
TRX000388,2024-10-07,15,0,3
TRX000389,2024-09-09,13,0,4
TRX000390,2024-07-08,14,0,3
TRX000391,2024-06-15,12,2.99,2
TRX000392,2024-10-06,15,4.99,3
TRX000393,2024-05-21,11,0,3
TRX000394,2024-10-08,8,0,2
TRX000395,2024-09-07,8,0,3
TRX000396,2024-06-17,14,0,1
TRX000397,2024-07-01,11,4.99,1
TRX000398,2024-05-16,7,0,1
TRX000399,2024-10-03,16,0,2
TRX000400,2024-09-03,7,0,8
TRX000401,2024-08-12,15,0,1
TRX000402,2024-08-06,16,0,2
TRX000403,2024-06-20,12,0,4
TRX000404,2024-08-19,6,0,4
TRX000405,2024-09-10,10,0,5
TRX000406,2024-10-06,10,0,3
TRX000407,2024-08-15,17,0,3
TRX000408,2024-09-25,13,2.99,1
TRX000409,2024-07-20,9,0,2
TRX000410,2024-07-08,14,0,3
TRX000411,2024-10-06,12,0,2
TRX000412,2024-06-18,15,0,2
TRX000413,2024-05-03,17,0,2
TRX000414,2024-06-07,9,0,3
TRX000415,2024-09-28,12,0,5
TRX000416,2024-09-18,15,0,3
TRX000417,2024-06-03,16,0,1
TRX000418,2024-07-31,10,0,4
TRX000419,2024-06-23,9,2.99,2
TRX000420,2024-10-26,12,0,3
TRX000421,2024-09-08,14,0,3
TRX000422,2024-09-27,9,0,3
TRX000423,2024-07-08,12,0,1
TRX000424,2024-05-31,10,0,1
TRX000425,2024-06-22,13,0,3
TRX000426,2024-10-08,12,2.99,6
TRX000427,2024-08-08,13,0,2
TRX000428,2024-10-18,13,0,2
TRX000429,2024-08-06,6,0,2
TRX000430,2024-05-06,11,0,3
TRX000431,2024-08-30,9,0,3
TRX000432,2024-10-25,12,0,3
TRX000433,2024-05-17,16,0,5
TRX000434,2024-06-18,12,0,4
TRX000435,2024-05-23,7,0,1
TRX000436,2024-10-11,10,0,3
TRX000437,2024-08-01,7,0,3
TRX000438,2024-10-22,12,0,3
TRX000439,2024-06-05,10,2.99,5
TRX000440,2024-09-25,19,0,3
TRX000441,2024-08-10,12,0,1
TRX000442,2024-06-09,15,0,1
TRX000443,2024-07-17,9,0,3
TRX000444,2024-10-22,14,4.99,3
TRX000445,2024-07-17,12,0,1
TRX000446,2024-07-29,16,2.99,3
TRX000447,2024-09-02,10,0,3
TRX000448,2024-07-01,9,0,1
TRX000449,2024-05-08,14,0,4
TRX000450,2024-09-10,5,0,3
TRX000451,2024-09-01,14,0,2
TRX000452,2024-10-22,8,0,2
TRX000453,2024-08-21,15,0,1
TRX000454,2024-07-11,7,0,3
TRX000455,2024-05-07,11,0,4
TRX000456,2024-10-16,13,0,4
TRX000457,2024-05-04,9,0,4
TRX000458,2024-06-18,10,0,1
TRX000459,2024-05-19,10,0,1
TRX000460,2024-05-11,15,0,1
TRX000461,2024-10-05,8,0,4
TRX000462,2024-08-19,9,0,2
TRX000463,2024-07-27,14,0,2
TRX000464,2024-10-24,8,0,1
TRX000465,2024-10-09,13,2.99,4
TRX000466,2024-07-29,13,0,2
TRX000467,2024-10-24,10,0,2
TRX000468,2024-07-14,10,0,2
TRX000469,2024-08-26,14,0,2
TRX000470,2024-07-05,14,4.99,2
TRX000471,2024-09-03,13,0,1
TRX000472,2024-05-11,13,0,2
TRX000473,2024-07-26,18,0,5
TRX000474,2024-07-30,12,0,2
TRX000475,2024-10-05,15,0,4
TRX000476,2024-06-14,14,0,2
TRX000477,2024-08-22,12,0,1
TRX000478,2024-10-20,6,0,3
TRX000479,2024-10-01,8,0,4
TRX000480,2024-07-14,14,2.99,2
TRX000481,2024-08-06,13,0,4
TRX000482,2024-07-06,10,2.99,3
TRX000483,2024-05-24,15,0,1
TRX000484,2024-07-11,13,0,2
TRX000485,2024-06-15,9,0,2
TRX000486,2024-06-15,6,0,2
TRX000487,2024-07-09,11,0,2
TRX000488,2024-07-01,15,0,1
TRX000489,2024-05-11,7,0,4
TRX000490,2024-09-12,7,0,3
TRX000491,2024-05-10,11,0,3
TRX000492,2024-09-02,12,0,3
TRX000493,2024-06-28,9,0,3
TRX000494,2024-07-02,18,2.99,1
TRX000495,2024-07-15,8,0,1
TRX000496,2024-09-07,16,0,7
TRX000497,2024-07-25,11,0,3
TRX000498,2024-09-02,8,0,3
TRX000499,2024-06-06,16,0,5
TRX000500,2024-06-04,13,0,4
TRX000501,2024-06-11,8,0,3
TRX000502,2024-07-27,5,2.99,1
TRX000503,2024-07-23,10,2.99,1
TRX000504,2024-09-01,11,0,6
TRX000505,2024-06-26,9,2.99,3
TRX000506,2024-05-21,12,2.99,5
TRX000507,2024-07-25,13,0,3
TRX000508,2024-07-13,12,0,5
TRX000509,2024-09-04,14,0,5
TRX000510,2024-07-14,14,0,2
TRX000511,2024-09-27,12,0,3
TRX000512,2024-10-05,12,0,2
TRX000513,2024-06-27,16,2.99,2
TRX000514,2024-10-15,11,2.99,1
TRX000515,2024-05-16,15,0,2
TRX000516,2024-07-21,7,0,1
TRX000517,2024-07-28,9,2.99,3
TRX000518,2024-07-22,6,0,3
TRX000519,2024-09-02,12,0,3
TRX000520,2024-05-03,8,2.99,1
TRX000521,2024-10-22,5,0,1
TRX000522,2024-09-18,9,0,7
TRX000523,2024-10-03,12,2.99,1
TRX000524,2024-09-26,11,0,4
TRX000525,2024-09-15,12,0,3
TRX000526,2024-09-14,10,0,1
TRX000527,2024-07-24,15,0,1
TRX000528,2024-08-18,12,0,3
TRX000529,2024-05-01,11,0,3
TRX000530,2024-09-06,12,0,1
TRX000531,2024-07-04,9,0,2
TRX000532,2024-10-24,8,2.99,2
TRX000533,2024-08-12,8,0,3
TRX000534,2024-07-22,10,0,2
TRX000535,2024-05-02,12,0,5
TRX000536,2024-09-19,11,0,1
TRX000537,2024-07-16,11,0,1
TRX000538,2024-09-13,9,0,4
TRX000539,2024-10-01,13,0,3
TRX000540,2024-05-21,12,2.99,4
TRX000541,2024-10-16,9,0,2
TRX000542,2024-05-18,17,0,5
TRX000543,2024-07-03,12,0,3
TRX000544,2024-06-02,15,2.99,6
TRX000545,2024-09-04,9,0,2
TRX000546,2024-09-29,8,0,4
TRX000547,2024-09-29,16,0,3
TRX000548,2024-07-03,11,0,1
TRX000549,2024-05-04,10,0,1
TRX000550,2024-09-10,10,0,1
TRX000551,2024-09-03,16,0,4
TRX000552,2024-06-22,6,0,4
TRX000553,2024-10-12,8,2.99,3
TRX000554,2024-06-04,14,0,3
TRX000555,2024-10-16,8,0,1
TRX000556,2024-10-19,17,0,1
TRX000557,2024-10-24,11,0,3
TRX000558,2024-10-26,13,0,1
TRX000559,2024-07-26,12,0,1
TRX000560,2024-06-05,12,0,5
TRX000561,2024-05-25,12,0,3
TRX000562,2024-06-30,10,0,2
TRX000563,2024-05-02,8,4.99,4
TRX000564,2024-09-25,11,0,4
TRX000565,2024-07-10,12,0,3
TRX000566,2024-05-16,10,0,2
TRX000567,2024-06-10,9,0,2
TRX000568,2024-06-09,9,0,3
TRX000569,2024-08-23,8,0,1
TRX000570,2024-05-06,12,0,4
TRX000571,2024-09-14,10,0,3
TRX000572,2024-06-02,12,2.99,3
TRX000573,2024-07-25,11,0,1
TRX000574,2024-06-07,11,0,2
TRX000575,2024-05-03,5,0,3
TRX000576,2024-10-11,10,0,2
TRX000577,2024-05-07,11,0,2
TRX000578,2024-06-07,8,0,1
TRX000579,2024-08-06,9,0,1
TRX000580,2024-10-10,10,0,4
TRX000581,2024-07-22,14,0,2
TRX000582,2024-08-29,13,0,3
TRX000583,2024-09-12,11,0,3
TRX000584,2024-09-20,16,0,1
TRX000585,2024-06-18,12,0,2
TRX000586,2024-06-13,7,0,2
TRX000587,2024-09-13,15,4.99,2
TRX000588,2024-08-08,16,0,6
TRX000589,2024-06-17,7,2.99,1
TRX000590,2024-07-14,5,0,2
TRX000591,2024-07-10,14,0,1
TRX000592,2024-05-15,14,0,2
TRX000593,2024-06-26,14,0,3
TRX000594,2024-09-17,19,0,4
TRX000595,2024-08-13,15,4.99,4
TRX000596,2024-08-13,12,0,1
TRX000597,2024-05-29,11,0,1
TRX000598,2024-07-12,13,4.99,1
TRX000599,2024-05-20,14,0,2
TRX000600,2024-09-13,6,0,3
TRX000601,2024-06-07,10,0,4
TRX000602,2024-07-15,14,2.99,4
TRX000603,2024-08-20,9,0,5
TRX000604,2024-05-15,9,0,2
TRX000605,2024-05-26,14,0,5
TRX000606,2024-05-28,6,0,3
TRX000607,2024-05-30,11,0,3
TRX000608,2024-10-18,16,0,1
TRX000609,2024-10-24,10,0,2
TRX000610,2024-08-24,15,0,2
TRX000611,2024-10-12,6,0,1
TRX000612,2024-08-02,8,0,1
TRX000613,2024-06-19,5,0,6
TRX000614,2024-09-22,5,0,1
TRX000615,2024-10-12,9,0,1
TRX000616,2024-08-01,8,0,1
TRX000617,2024-06-06,7,0,4
TRX000618,2024-10-17,11,0,5
TRX000619,2024-05-26,11,0,1
TRX000620,2024-07-04,14,0,1
TRX000621,2024-08-31,11,0,3
TRX000622,2024-08-08,10,0,2
TRX000623,2024-05-21,11,2.99,2
TRX000624,2024-09-27,16,0,2
TRX000625,2024-08-09,18,0,4
TRX000626,2024-09-20,13,0,1
TRX000627,2024-07-07,11,0,6
TRX000628,2024-06-03,14,0,2
TRX000629,2024-06-12,13,0,2
TRX000630,2024-07-21,14,0,4
TRX000631,2024-09-29,14,2.99,6
TRX000632,2024-05-25,9,0,3
TRX000633,2024-09-05,12,0,2
TRX000634,2024-09-28,10,0,2
TRX000635,2024-10-03,10,2.99,1
TRX000636,2024-07-21,9,0,3
TRX000637,2024-08-25,8,2.99,2
TRX000638,2024-05-01,10,0,3
TRX000639,2024-10-16,13,0,1
TRX000640,2024-05-19,6,0,2
TRX000641,2024-09-29,13,0,1
TRX000642,2024-05-10,15,4.99,1
TRX000643,2024-07-14,13,0,2
TRX000644,2024-09-17,5,0,2
TRX000645,2024-08-31,10,0,3
TRX000646,2024-05-17,11,0,1
TRX000647,2024-06-09,15,0,3
TRX000648,2024-08-11,9,0,1
TRX000649,2024-08-25,9,0,2
TRX000650,2024-09-12,8,0,4
TRX000651,2024-07-08,10,0,3
TRX000652,2024-10-22,13,0,2
TRX000653,2024-06-26,17,0,3
TRX000654,2024-05-28,9,0,2
TRX000655,2024-07-22,10,0,3
TRX000656,2024-10-20,16,0,1
TRX000657,2024-06-30,13,2.99,2
TRX000658,2024-07-23,12,0,4
TRX000659,2024-08-23,5,4.99,3
TRX000660,2024-05-23,14,0,3
TRX000661,2024-08-31,12,0,4
TRX000662,2024-09-20,13,0,1
TRX000663,2024-06-12,14,0,4
TRX000664,2024-08-02,12,0,1
TRX000665,2024-10-25,15,0,1
TRX000666,2024-06-28,6,0,1
TRX000667,2024-06-22,12,0,1
TRX000668,2024-08-07,8,0,4
TRX000669,2024-08-14,8,0,3
TRX000670,2024-09-12,13,0,5
TRX000671,2024-10-13,10,0,4
TRX000672,2024-06-10,13,0,4
TRX000673,2024-07-29,7,0,1
TRX000674,2024-05-09,10,0,4
TRX000675,2024-08-21,13,0,5
TRX000676,2024-09-22,7,4.99,1
TRX000677,2024-08-14,18,0,5
TRX000678,2024-06-30,14,0,2
TRX000679,2024-08-27,11,0,2
TRX000680,2024-07-04,5,0,1
TRX000681,2024-09-24,8,0,3
TRX000682,2024-07-23,16,2.99,5
TRX000683,2024-08-10,7,0,2
TRX000684,2024-10-23,14,0,1
TRX000685,2024-07-31,7,0,3
TRX000686,2024-08-08,8,2.99,1
TRX000687,2024-09-24,16,0,5
TRX000688,2024-06-20,7,0,3
TRX000689,2024-05-24,13,0,2
TRX000690,2024-10-27,14,0,2
TRX000691,2024-05-11,13,0,4
TRX000692,2024-06-24,15,0,3
TRX000693,2024-05-27,13,0,4
TRX000694,2024-07-26,14,0,1
TRX000695,2024-07-29,12,0,2
TRX000696,2024-10-25,7,0,1
TRX000697,2024-08-02,15,0,1
TRX000698,2024-05-14,9,0,3
TRX000699,2024-05-22,15,0,1
TRX000700,2024-07-27,8,0,6
TRX000701,2024-08-12,12,0,4
TRX000702,2024-07-29,9,0,4
TRX000703,2024-09-20,10,0,3
TRX000704,2024-08-11,10,0,6
TRX000705,2024-06-07,11,0,1
TRX000706,2024-08-24,12,0,3
TRX000707,2024-08-11,10,0,4
TRX000708,2024-08-23,9,0,3
TRX000709,2024-10-03,22,2.99,1
TRX000710,2024-07-30,8,2.99,2
TRX000711,2024-07-24,12,0,2
TRX000712,2024-07-04,16,0,3
TRX000713,2024-05-01,6,0,2
TRX000714,2024-09-28,10,2.99,5
TRX000715,2024-09-29,11,0,2
TRX000716,2024-06-08,12,0,4
